repo_id,full_name,html_url,description,language,stargazers_count,forks_count,pushed_at,owner_login,owner_avatar_url,starred_at
818259347,Aslam97/shadcn-minimal-tiptap,https://github.com/Aslam97/shadcn-minimal-tiptap,Minimal Tiptap Editor,TypeScript,1387,84,2025-04-02T06:23:06Z,Aslam97,https://avatars.githubusercontent.com/u/25027592?v=4,2025-03-24T04:00:56Z
930429452,ibelick/prompt-kit,https://github.com/ibelick/prompt-kit,"Core building blocks for AI apps.  High-quality, accessible, and customizable components for AI interfaces.",TypeScript,994,55,2025-05-15T20:47:53Z,ibelick,https://avatars.githubusercontent.com/u/14288396?v=4,2025-03-22T15:30:37Z
944828547,canopyai/Orpheus-TTS,https://github.com/canopyai/Orpheus-TTS,Towards Human-Sounding Speech,Python,4770,383,2025-05-06T02:58:14Z,canopyai,https://avatars.githubusercontent.com/u/157303550?v=4,2025-03-20T00:29:07Z
3100209,schteppe/cannon.js,https://github.com/schteppe/cannon.js,A lightweight 3D physics engine written in JavaScript.,JavaScript,4835,727,2023-08-04T10:35:17Z,schteppe,https://avatars.githubusercontent.com/u/1063152?v=4,2025-03-19T22:09:29Z
935494387,Stability-AI/stable-virtual-camera,https://github.com/Stability-AI/stable-virtual-camera,Stable Virtual Camera: Generative View Synthesis with Diffusion Models,Python,1254,77,2025-04-26T21:58:21Z,Stability-AI,https://avatars.githubusercontent.com/u/100950301?v=4,2025-03-19T13:01:01Z
950286393,narative/oscura,https://github.com/narative/oscura,An unapologetically dark and minimal theme.,,186,13,2025-05-03T18:48:54Z,narative,https://avatars.githubusercontent.com/u/38549791?v=4,2025-03-18T22:01:03Z
703854926,Railly/tinte,https://github.com/Railly/tinte,"An opinionated theme generator 🎨 (VS Code, shadcn/ui)",TypeScript,411,19,2025-04-05T22:46:25Z,Railly,https://avatars.githubusercontent.com/u/51397083?v=4,2025-03-16T12:31:43Z
896144595,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,Python,27732,4797,2025-05-16T00:59:47Z,virattt,https://avatars.githubusercontent.com/u/901795?v=4,2025-03-16T07:35:23Z
824874689,cline/cline,https://github.com/cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",TypeScript,43803,5121,2025-05-16T23:46:06Z,cline,https://avatars.githubusercontent.com/u/184127137?v=4,2025-03-16T06:58:00Z
197018189,xyflow/xyflow,https://github.com/xyflow/xyflow,React Flow | Svelte Flow - Powerful open source libraries for building node-based UIs with React (https://reactflow.dev) or Svelte (https://svelteflow.dev). Ready out-of-the-box and infinitely customizable.,TypeScript,29491,1907,2025-05-15T14:37:35Z,xyflow,https://avatars.githubusercontent.com/u/7106853?v=4,2025-03-15T07:08:05Z
933894849,Krish120003/zercel,https://github.com/Krish120003/zercel,Zercel is a Vercel clone that supports Fluid Compute and automatic deployments.,TypeScript,36,5,2025-03-26T22:12:08Z,Krish120003,https://avatars.githubusercontent.com/u/52761222?v=4,2025-03-15T01:40:47Z
725205304,unslothai/unsloth,https://github.com/unslothai/unsloth,"Finetune Qwen3, Llama 4, TTS, DeepSeek-R1 & Gemma 3 LLMs 2x faster with 70% less memory! 🦥",Python,38801,3037,2025-05-16T23:06:42Z,unslothai,https://avatars.githubusercontent.com/u/150920049?v=4,2025-03-14T21:54:38Z
498532278,emilwidlund/alma,https://github.com/emilwidlund/alma,An interactive playground for generative graphics. Combine nodes & logic into WebGL shaders - all through an intuitive no-code interface.,TypeScript,889,38,2024-09-27T12:24:25Z,emilwidlund,https://avatars.githubusercontent.com/u/10053249?v=4,2025-03-14T02:45:46Z
943934999,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,"No fortress, purely open ground.  OpenManus is Coming.",Python,45699,7937,2025-05-14T07:36:53Z,FoundationAgents,https://avatars.githubusercontent.com/u/198047230?v=4,2025-03-14T02:40:40Z
944414751,ahujasid/blender-mcp,https://github.com/ahujasid/blender-mcp,,Python,11150,994,2025-04-16T23:54:35Z,ahujasid,https://avatars.githubusercontent.com/u/11807284?v=4,2025-03-13T22:00:00Z
615510678,camel-ai/camel,https://github.com/camel-ai/camel,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,Python,12511,1324,2025-05-16T17:35:57Z,camel-ai,https://avatars.githubusercontent.com/u/134388954?v=4,2025-03-12T13:21:41Z
941289933,antiwork/helper,https://github.com/antiwork/helper,Customer support agents,TypeScript,363,93,2025-05-16T20:49:48Z,antiwork,https://avatars.githubusercontent.com/u/1178890?v=4,2025-03-12T04:51:25Z
945579718,nikmcfly/ANUS,https://github.com/nikmcfly/ANUS,,Python,5588,908,2025-03-16T20:20:57Z,nikmcfly,https://avatars.githubusercontent.com/u/70242477?v=4,2025-03-11T10:29:06Z
942114501,camel-ai/owl,https://github.com/camel-ai/owl,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,Python,16508,1935,2025-05-16T14:32:54Z,camel-ai,https://avatars.githubusercontent.com/u/134388954?v=4,2025-03-10T13:56:42Z
655515393,CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",TypeScript,18943,2685,2025-05-16T23:50:55Z,CopilotKit,https://avatars.githubusercontent.com/u/131273140?v=4,2025-03-09T22:41:40Z
945152231,CopilotKit/open-mcp-client,https://github.com/CopilotKit/open-mcp-client,,TypeScript,1406,221,2025-04-22T21:13:39Z,CopilotKit,https://avatars.githubusercontent.com/u/131273140?v=4,2025-03-09T22:41:07Z
717080536,fuma-nama/fuma-comment,https://github.com/fuma-nama/fuma-comment,"user friendly, beautiful comment area to your blog",TypeScript,244,8,2025-05-15T10:20:45Z,fuma-nama,https://avatars.githubusercontent.com/u/76240755?v=4,2025-03-09T13:07:49Z
929858144,fleuristes/fleur,https://github.com/fleuristes/fleur,The easiest way to discover and install MCPs,TypeScript,469,32,2025-03-29T11:26:53Z,fleuristes,https://avatars.githubusercontent.com/u/201467761?v=4,2025-03-09T06:44:45Z
854894542,nextjs/saas-starter,https://github.com/nextjs/saas-starter,"Get started quickly with Next.js, Postgres, Stripe, and shadcn/ui.",TypeScript,12298,1587,2025-05-16T16:11:46Z,nextjs,https://avatars.githubusercontent.com/u/126103961?v=4,2025-03-08T23:38:48Z
926252103,Mail-0/Zero,https://github.com/Mail-0/Zero,Experience email the way you want with 0 – the first open source email app that puts your privacy and safety first. Join the discord: https://discord.gg/0email,TypeScript,7407,614,2025-05-16T16:57:37Z,Mail-0,https://avatars.githubusercontent.com/u/198371852?v=4,2025-03-08T21:14:04Z
876064934,patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",Jupyter Notebook,9189,1562,2025-05-16T13:13:02Z,patchy631,https://avatars.githubusercontent.com/u/38653995?v=4,2025-03-05T21:55:11Z
940949323,aj47/chaos-coder,https://github.com/aj47/chaos-coder,9 separate websites IN SECONDS for you to chaotically edit!,TypeScript,75,19,2025-05-16T06:42:42Z,aj47,https://avatars.githubusercontent.com/u/8023513?v=4,2025-03-05T21:47:49Z
360522116,heroui-inc/heroui,https://github.com/heroui-inc/heroui,"🚀 Beautiful, fast and modern React UI library. (Previously NextUI)",TypeScript,24206,1769,2025-05-16T14:11:50Z,heroui-inc,https://avatars.githubusercontent.com/u/86160567?v=4,2025-03-05T21:21:40Z
933894892,TIGER-AI-Lab/TheoremExplainAgent,https://github.com/TIGER-AI-Lab/TheoremExplainAgent,"Official Repo for ""TheoremExplainAgent: Towards Multimodal Explanations for LLM Theorem Understanding"" [ACL 2025]",Python,1239,155,2025-05-15T19:51:11Z,TIGER-AI-Lab,https://avatars.githubusercontent.com/u/144196744?v=4,2025-03-05T04:14:27Z
867112205,upstash/workflow-js,https://github.com/upstash/workflow-js,"Durable, Reliable and Performant Serverless Functions",TypeScript,95,10,2025-05-16T11:52:03Z,upstash,https://avatars.githubusercontent.com/u/74989412?v=4,2025-03-05T03:38:16Z
937490025,ASLP-lab/DiffRhythm,https://github.com/ASLP-lab/DiffRhythm,Di♪♪Rhythm: Blazingly Fast and Embarrassingly Simple End-to-End Full-Length Song Generation with Latent Diffusion,Python,1611,163,2025-05-10T12:35:39Z,ASLP-lab,https://avatars.githubusercontent.com/u/195776634?v=4,2025-03-04T18:58:21Z
888108783,DefenderOfBasic/PhD,https://github.com/DefenderOfBasic/PhD,Open notebook for my research in culture science,,74,3,2025-03-17T19:43:27Z,DefenderOfBasic,https://avatars.githubusercontent.com/u/173721283?v=4,2025-03-04T00:24:40Z
727894237,defog-ai/introspect,https://github.com/defog-ai/introspect,Deep Research for your internal data,Python,314,33,2025-05-06T15:35:33Z,defog-ai,https://avatars.githubusercontent.com/u/79135711?v=4,2025-03-03T23:28:15Z
422121708,nlp-with-transformers/notebooks,https://github.com/nlp-with-transformers/notebooks,Jupyter notebooks for the Natural Language Processing with Transformers book,Jupyter Notebook,4313,1345,2024-08-21T08:45:31Z,nlp-with-transformers,https://avatars.githubusercontent.com/u/93219893?v=4,2025-03-01T17:15:37Z
924394244,cloudflare/agents,https://github.com/cloudflare/agents,Build and deploy AI Agents on Cloudflare ,TypeScript,1963,144,2025-05-16T16:02:43Z,cloudflare,https://avatars.githubusercontent.com/u/314135?v=4,2025-02-27T12:01:31Z
47039255,codex-team/editor.js,https://github.com/codex-team/editor.js,A block-style editor with clean JSON output,TypeScript,30182,2153,2025-04-30T16:52:33Z,codex-team,https://avatars.githubusercontent.com/u/16060815?v=4,2025-02-26T04:57:41Z
318341089,facebook/lexical,https://github.com/facebook/lexical,"Lexical is an extensible text editor framework that provides excellent reliability, accessibility and performance.",TypeScript,21215,1879,2025-05-16T03:01:54Z,facebook,https://avatars.githubusercontent.com/u/69631?v=4,2025-02-25T06:53:50Z
670732143,ekmas/neobrutalism-components,https://github.com/ekmas/neobrutalism-components,A collection of neobrutalism-styled Tailwind components.,TypeScript,3745,107,2025-05-09T05:52:57Z,ekmas,https://avatars.githubusercontent.com/u/110829653?v=4,2025-02-23T04:41:44Z
694939378,QwenLM/Qwen-Agent,https://github.com/QwenLM/Qwen-Agent,"Agent framework and applications built upon Qwen>=3.0, featuring Function Calling, MCP, Code Interpreter, RAG, Chrome extension, etc.",Python,8656,717,2025-05-16T09:00:19Z,QwenLM,https://avatars.githubusercontent.com/u/141221163?v=4,2025-02-22T10:30:27Z
924733941,wild-card-ai/agents-json,https://github.com/wild-card-ai/agents-json,,Python,1218,63,2025-05-16T18:28:23Z,wild-card-ai,https://avatars.githubusercontent.com/u/191681763?v=4,2025-02-21T17:06:58Z
327089870,payloadcms/payload,https://github.com/payloadcms/payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",TypeScript,34820,2423,2025-05-16T22:21:47Z,payloadcms,https://avatars.githubusercontent.com/u/62968818?v=4,2025-02-21T05:29:14Z
891642747,langchain-ai/open_deep_research,https://github.com/langchain-ai/open_deep_research,,Python,3354,459,2025-05-11T21:28:12Z,langchain-ai,https://avatars.githubusercontent.com/u/126733545?v=4,2025-02-21T04:59:19Z
631258918,sinaptik-ai/pandas-ai,https://github.com/sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.",Python,20168,1916,2025-05-15T10:07:31Z,sinaptik-ai,https://avatars.githubusercontent.com/u/154438448?v=4,2025-02-20T09:09:41Z
860252770,microsoft/OmniParser,https://github.com/microsoft/OmniParser,A simple screen parsing tool towards pure vision based GUI agent,Jupyter Notebook,22088,1852,2025-03-26T20:33:47Z,microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2025-02-15T04:05:28Z
680120071,microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,Python,44537,6731,2025-05-16T07:05:36Z,microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2025-02-13T07:11:04Z
784586462,TrafficGuard/typedai,https://github.com/TrafficGuard/typedai,"TypeScript AI platform with AI chat, Autonomous agents, Software developer agents, chatbots and more",TypeScript,1043,75,2025-05-16T19:49:58Z,TrafficGuard,https://avatars.githubusercontent.com/u/47138526?v=4,2025-02-13T07:05:55Z
661283123,kyrolabs/awesome-agents,https://github.com/kyrolabs/awesome-agents,🤖 Awesome list of AI Agents,,763,85,2025-05-06T21:15:15Z,kyrolabs,https://avatars.githubusercontent.com/u/126075767?v=4,2025-02-13T07:04:59Z
781261349,microsoft/RD-Agent,https://github.com/microsoft/RD-Agent,"Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through our open source R&D automation tool R&D-Agent, which lets AI drive data-driven AI.",Python,4353,383,2025-05-16T10:30:02Z,microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2025-02-13T07:04:45Z
839037098,mastra-ai/mastra,https://github.com/mastra-ai/mastra,"The TypeScript AI agent framework. ⚡ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.",TypeScript,13052,719,2025-05-16T23:51:52Z,mastra-ai,https://avatars.githubusercontent.com/u/149120496?v=4,2025-02-13T07:03:57Z
705433491,myshell-ai/AIlice,https://github.com/myshell-ai/AIlice,"AIlice is a fully autonomous, general-purpose AI agent.",Python,1130,166,2025-05-06T03:27:51Z,myshell-ai,https://avatars.githubusercontent.com/u/127754094?v=4,2025-02-13T07:03:04Z
762304524,ComposioHQ/composio,https://github.com/ComposioHQ/composio,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,Python,25273,4424,2025-05-09T20:33:35Z,ComposioHQ,https://avatars.githubusercontent.com/u/128464815?v=4,2025-02-13T06:58:16Z
832647441,awslabs/agent-squad,https://github.com/awslabs/agent-squad,Flexible and powerful framework for managing multiple AI agents and handling complex conversations,Python,5680,478,2025-05-15T10:28:17Z,awslabs,https://avatars.githubusercontent.com/u/3299148?v=4,2025-02-13T06:57:12Z
774497032,MervinPraison/PraisonAI,https://github.com/MervinPraison/PraisonAI,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration.",Jupyter Notebook,4225,602,2025-05-15T15:02:01Z,MervinPraison,https://avatars.githubusercontent.com/u/454862?v=4,2025-02-13T06:56:52Z
859556091,AgentOps-AI/AgentStack,https://github.com/AgentOps-AI/AgentStack,The fastest way to build robust AI agents,Python,1803,172,2025-05-06T00:39:49Z,AgentOps-AI,https://avatars.githubusercontent.com/u/140554352?v=4,2025-02-13T06:55:04Z
488641606,agno-agi/agno,https://github.com/agno-agi/agno,"Agno is a lightweight library for building Agents with memory, knowledge, tools and reasoning.",Python,26729,3388,2025-05-16T21:39:53Z,agno-agi,https://avatars.githubusercontent.com/u/104874993?v=4,2025-02-13T06:53:45Z
818331198,pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,Agent Framework / shim to use Pydantic with LLMs,Python,9556,851,2025-05-16T23:17:20Z,pydantic,https://avatars.githubusercontent.com/u/110818415?v=4,2025-02-13T06:52:20Z
710601088,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",Python,31672,4237,2025-05-16T22:22:58Z,crewAIInc,https://avatars.githubusercontent.com/u/170677839?v=4,2025-02-13T06:44:31Z
655459367,e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,,17891,1356,2025-02-26T10:04:45Z,e2b-dev,https://avatars.githubusercontent.com/u/129434473?v=4,2025-02-13T06:44:25Z
656099147,mem0ai/mem0,https://github.com/mem0ai/mem0,Memory for AI Agents; SOTA in AI Agent Memory; Announcing OpenMemory MCP - local and secure memory management.,Python,30928,2986,2025-05-16T18:08:36Z,mem0ai,https://avatars.githubusercontent.com/u/137054526?v=4,2025-02-13T06:43:54Z
812975380,frdel/agent-zero,https://github.com/frdel/agent-zero,Agent Zero AI framework,Python,6680,1454,2025-05-15T20:02:28Z,frdel,https://avatars.githubusercontent.com/u/38891707?v=4,2025-02-13T06:43:42Z
573631261,transitive-bullshit/agentic,https://github.com/transitive-bullshit/agentic,AI agent stdlib that works with any LLM and TypeScript AI SDK.,TypeScript,17504,2222,2025-04-24T22:05:49Z,transitive-bullshit,https://avatars.githubusercontent.com/u/552829?v=4,2025-02-13T06:41:14Z
193215554,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,94618,25922,2025-05-16T21:17:22Z,n8n-io,https://avatars.githubusercontent.com/u/45487711?v=4,2025-02-13T05:37:34Z
